,headline,score,date,newsroom
0,bjp-rss spreading hatred: rahul gandhi,-0.589252,2017-02-13,TimesOfIndia News
1,bjp makes attack on party workers a poll issue,-0.497626,2017-02-13,TimesOfIndia News
2,"pm hits back at akhilesh's jibe, rakes up issue of rapes",-0.753057,2017-02-13,TimesOfIndia News
3,bsp goes on an overdrive on social media,0.0,2017-02-13,TimesOfIndia News
4,"phulpur cries for development, political parties least bothered, allege villagers",-0.91282,2017-02-13,TimesOfIndia News
5,"bjp only option for up's overall development, says rudy",0.0,2017-02-13,TimesOfIndia News
6,"rahul, akhilesh a 'pair of swans' to be separated post polls, says union minister naqvi",0.435162,2017-02-13,TimesOfIndia News
7,alliance has failed to save sp-congress: pm modi,-0.750984,2017-02-13,TimesOfIndia News
8,woman who accused sp mla of rape found dead,-0.742478,2017-02-13,TimesOfIndia News
9,sp-congress alliance will sink in bjp wave: uma bharti,-0.478664,2017-02-13,TimesOfIndia News
10,sp candidate in deoband fights independent wife in polls,0.0,2017-02-13,TimesOfIndia News
11,"cong leader calls modi, shah 'laffaz'",0.0,2017-02-13,TimesOfIndia News
12,"cong, sp roadshow on feb 15, parties discuss route map",0.0,2017-02-13,TimesOfIndia News
13,"bjp, sp, congress wooing brahmins; team akhilesh seeking to outdo bjps publicity machinery",0.0,2017-02-13,TimesOfIndia News
14,"up polls: akhilesh takes cues from hillary campaign, ups social presence ahead of phase 2",-0.362317,2017-02-13,TimesOfIndia News
15,"ad(s), bjp `resolve' seat sharing dispute",-0.439524,2017-02-13,TimesOfIndia News
16,"ambedkar kin, jd (u) pledge support to sp",0.0,2017-02-13,TimesOfIndia News
17,congress asks four up candidates to withdraw in favour of sp,0.0,2017-02-13,Zee news
18,"samajwadi party family feud: shivpal yadav takes u-turn, says no new party after march 11",-0.522826,2017-02-13,Zee news
19,"bsp main rival in first two rounds, sp in rest: amit shah",0.0,2017-02-13,Zee news
20,"people wave bjp flags, chant pm narendra modi's name in rahul gandhi's road show - watch video",0.0,2017-02-13,Zee news
21,uttar pradesh elections 2017: amit shah set to address poll rally in congress stronghold amethi,0.0,2017-02-14,NDTV News
22,"up election 2017: willdemonetisationhit bjps chances? from farm to factory, the jury is still out",0.0,2017-02-14,FirstPost news
23,"sp, bjp candidates, aides exchange blows",0.0,2017-02-14,TimesOfIndia News
24,"in lust for power, akhilesh has not even spared his father: rajnath",-0.49818,2017-02-14,TimesOfIndia News
25,would rather be in opposition than support bjp: mayawati,0.0,2017-02-14,TimesOfIndia News
26,"bsp, sp trade charges only at poll time: bjp",-0.409193,2017-02-14,TimesOfIndia News
27,viral video shows madhya pradesh bjp leader campaigning for bsp in up,0.0,2017-02-14,TimesOfIndia News
28,"sp, congress withdraw five candidates each for alliance",0.0,2017-02-14,TimesOfIndia News
29,rajnath singh castigates akhilesh yadav,0.0,2017-02-14,TimesOfIndia News
30,bjp netas booked for poll code violation,-0.389971,2017-02-14,TimesOfIndia News
31,opposition leaders' bp shot up after phase i of polls: akhilesh,0.0,2017-02-14,TimesOfIndia News
32,amit shah set to address election rally in amethi,0.0,2017-02-14,TimesOfIndia News
33,bjp's ally  apna dal (s) too faces workers' wrath in kashi,-0.56121,2017-02-14,TimesOfIndia News
34,bsp will never form government with bjp's help: mayawati,-0.304649,2017-02-14,TimesOfIndia News
35,"shivraj singh chouhan, akhilesh yadav spar over crime situation in up",0.0,2017-02-14,TimesOfIndia News
36,bjp candidate booked for attacking samajwadi party rival bs gangwar,0.0,2017-02-14,Zee news
37,"modi challenges akhilesh on 'kaam bolta hai', says let's take a ride on lucknow metro",0.0,2017-02-14,Zee news
38,"woman, who accused sp mla arun verma of rape, found dead; police suspect strangulation",-0.805418,2017-02-14,Zee news
39,"up elections 2017: bsp coming to power with full majority, says mayawati",0.0,2017-02-15,NDTV News
40,"up elections 2017: bjp gained 'decisive lead' in first phase, says kalraj mishra",0.0,2017-02-15,NDTV News
41,"up election 2017: bsp may join hands with bjp, says akhilesh yadav",0.0,2017-02-15,NDTV News
42,"police case against rahul gandhi, harish rawat for model code violation",0.0,2017-02-15,NDTV News
43,"up elections 2017: battleground saharanpur is big test for congress, bsp",-0.315032,2017-02-15,NDTV News
