,Unnamed: 0,headline,score,date,newsroom
22,22,bjp to pay for fielding 'baagi' & 'daagi' candidates: mayawati,0.0,2017-03-03,Zee news
23,23,"samajwadi party, bahujan samaj party, congress will get electric shocks on march 11: pm narendra modi",0.0,2017-03-03,Zee news
24,24,pm narendra modi quotes rahul gandhi to attack akhilesh yadav in mirzapur,0.845923,2017-03-03,Zee news
25,25,akhilesh yadav refutes pm narendra modi's claim of isi role in kanpur train mishap,-0.468949,2017-03-03,Zee news
26,26,ec seeks bsp's reply on plea alleging huge deposits in party account post demonetization,-0.713364,2017-03-03,Zee news
27,27,"up election 2017: akhilesh yadav says accept bribe from others, but vote for samajwadi party",0.0,2017-03-04,NDTV News
28,28,up elections 2017: akhilesh yadav dares pm narendra modi to list out work done by him,0.0,2017-03-04,NDTV News
29,29,up elections 2017: how the battle for uttar pradesh is being fought in pm modi's varanasi today,-0.630802,2017-03-04,NDTV News
30,30,"up elections 2017 - pm modi offers prayers in varanasi, akhilesh-rahul hold road show too: 10 points",-0.346841,2017-03-04,NDTV News
31,31,"manipur election 2017: election body orders fir against state bjp office bearers, 8 newspapers",0.0,2017-03-04,NDTV News
32,32,"57% turnout in up till 5 pm, 84.8% in manipur: highlights",0.0,2017-03-04,NDTV News
33,33,up election 2017: narendra modi gives his security a nightmare as he gets cavalier in varanasi,-0.67515,2017-03-04,FirstPost news
34,34,up election 2017: bjp in varanasi alleges state admin 'selectively' pulled down its posters,-0.668336,2017-03-04,FirstPost news
35,35,"up election 2017: modi has lowered the dignity of the prime minister's office, alleges congress",0.0,2017-03-04,FirstPost news
36,36,people throng pm modi's roadshow in varanasi,0.0,2017-03-04,TimesOfIndia News
37,37,"rape accused up minister gayatri prajapati's passport impounded, look-out notice issued",0.0,2017-03-04,TimesOfIndia News
38,38,congress wants ec to book modi for alleged violation of model code,-0.479025,2017-03-04,TimesOfIndia News
39,39,"if you have chhaachh, pm modi will accuse you of taking bhaang: akhilesh yadav",-0.658212,2017-03-04,TimesOfIndia News
40,40,modi violated model code by holding varanasi road show: congress,0.0,2017-03-04,TimesOfIndia News
41,41,not appropriate for pm to hold road show: upendra kushwaha,-0.857546,2017-03-04,TimesOfIndia News
42,42,"sp, bjp workers clash at akhilesh-rahul's joint roadshow",-0.512518,2017-03-04,TimesOfIndia News
43,43,"a tale of two roadshows: pm modi, rahul gandhi and akhilesh yadav descend upon varanasi",0.0,2017-03-04,TimesOfIndia News
44,44,"after arvind kejriwal and manohar parrikar, now akhilesh yadav asks voters to accept money",0.0,2017-03-04,TimesOfIndia News
45,45,"no amount of prayers will help modi now, says mayawati",-0.306035,2017-03-04,TimesOfIndia News
46,46,"modi's jibe at maya, akhilesh, rahul: note ban irked bua, bhatija, his friend",0.0,2017-03-04,TimesOfIndia News
47,47,48.73 per cent polling registered till 3pm in sixth phase of up polls,0.0,2017-03-04,TimesOfIndia News
48,48,"pm modi in varanasi, bjp says its posters ""selectively"" pulled down",-0.384738,2017-03-04,TimesOfIndia News
49,49,uttar pradesh assembly polls 2017: hundreds turn out to cheer narendra modi in varanasi roadshow,0.0,2017-03-04,TimesOfIndia News
50,50,upper caste support critical for bjp in east uttar pradesh,0.0,2017-03-04,TimesOfIndia News
51,51,"priyanka gandhi absent from akhilesh yadav, dimple yadav and rahul gandhis road show",0.0,2017-03-04,TimesOfIndia News
52,52,test for samajwadi party in mulayams absence as yogi adityanath and ansaris flex muscles,0.0,2017-03-04,TimesOfIndia News
53,53,"bjp is 'bharat jhooth paathshaala', pm modi its principal: congress",0.0,2017-03-04,TimesOfIndia News
54,54,"bjp against mbcs, says mayawati",0.0,2017-03-04,TimesOfIndia News
55,55,will rail projects help bjp fly in eastern up?,0.0,2017-03-04,TimesOfIndia News
56,56,ready for development talks with cm on any of kashi ghats: piyush goyal,0.0,2017-03-04,TimesOfIndia News
57,57,up elections 2017: when paths of pm modi and akhilesh-rahul almost crossed in varanasi,0.0,2017-03-04,TimesOfIndia News
58,58,"'not kaam, it's kaarnama that speaks in up: smriti irani",0.677554,2017-03-04,TimesOfIndia News
59,59,`haven't spoken to mulayam singh yadav after quitting samajwadi party',-0.351689,2017-03-04,TimesOfIndia News
0,0,not doing any work is pm modi's biggest 'karnama': akhilesh,-0.640215,2017-03-02,TimesOfIndia News
1,1,"star campaigner in 2012 polls, mulayam singh yadav addresses only two public rallies this election",0.0,2017-03-02,TimesOfIndia News
2,2,'our friendship unnerves pm narendra modi',0.0,2017-03-02,TimesOfIndia News
3,3,congress panics as note ban sent voters to us: arun jaitley,-0.535081,2017-03-02,TimesOfIndia News
4,4,bjp men bicker as yogi adityanath campaigns elsewhere,-0.478533,2017-03-02,TimesOfIndia News
5,5,"'modi lied, rahul gandhi said narangi juice not nariyal juice', says congress",-0.698047,2017-03-02,TimesOfIndia News
6,6,bjp will repeat its 2014 lok sabha poll feat: jaitley,0.0,2017-03-02,TimesOfIndia News
7,7,samajwadi party candidate pd tiwari broke out into tears in presence of akhilesh yadav on stage  here's why ,-0.632159,2017-03-02,Zee news
8,8,up polls: bjp writes to ec for deployment of lady police officials at booths to check voter id of burqa-clad women,-0.356935,2017-03-02,Zee news
9,9,both sp and bjp will lose in up elections: asaduddin owaisi,-0.478604,2017-03-02,Zee news
10,10,yogi adityanath drives bjp hindutva campaign in eastern uttar pradesh,0.0,2017-03-02,Zee news
11,11,"'bjp will repeat 2014 lok sabha poll success in uttar pradesh assembly elections, form government in state' ",0.0,2017-03-02,Zee news
12,12,"pm narendra modi confident of bjp's win in up polls, says debate is whether we will get 2/3rd or 3/4th majority",0.789324,2017-03-02,Zee news
13,13,"up election 2017: akhilesh yadav refutes pm modi, denies isi link in kanpur train accident",-0.531758,2017-03-03,FirstPost news
14,14,up election 2017: will bjp suffer in varanasi with millenials unhappy with mp narendra modi?,-0.474901,2017-03-03,FirstPost news
15,15,up election 2017: varanasi to witness narendra modi vs rahul-akhilesh road show on saturday,0.0,2017-03-03,FirstPost news
16,16,"to counter lotus in up, mohammad azharuddins marigold flicks for congress",0.0,2017-03-03,TimesOfIndia News
17,17,has bjps ujjwala scheme taken shine out of samajwadi pension?,0.585125,2017-03-03,TimesOfIndia News
18,18,"show of strength in battleground varanasi: pm modi to hold rally; road show by rahul, akhilesh",0.0,2017-03-03,TimesOfIndia News
19,19,bjp hopes to maximise its gains in 6th phase of up assembly polls,0.0,2017-03-03,TimesOfIndia News
20,20,bjp rides on balti babas magic to woo voters,0.0,2017-03-03,TimesOfIndia News
21,21,bjp to pay for fielding 'baagi' & 'daagi' candidates: mayawati,0.0,2017-03-03,Zee news
22,22,"samajwadi party, bahujan samaj party, congress will get electric shocks on march 11: pm narendra modi",0.0,2017-03-03,Zee news
23,23,pm narendra modi quotes rahul gandhi to attack akhilesh yadav in mirzapur,0.845923,2017-03-03,Zee news
24,24,akhilesh yadav refutes pm narendra modi's claim of isi role in kanpur train mishap,-0.468949,2017-03-03,Zee news
25,25,ec seeks bsp's reply on plea alleging huge deposits in party account post demonetization,-0.713364,2017-03-03,Zee news
26,26,"up election 2017: akhilesh yadav says accept bribe from others, but vote for samajwadi party",0.0,2017-03-04,NDTV News
27,27,up elections 2017: akhilesh yadav dares pm narendra modi to list out work done by him,0.0,2017-03-04,NDTV News
28,28,up elections 2017: how the battle for uttar pradesh is being fought in pm modi's varanasi today,-0.630802,2017-03-04,NDTV News
29,29,"up elections 2017 - pm modi offers prayers in varanasi, akhilesh-rahul hold road show too: 10 points",-0.346841,2017-03-04,NDTV News
30,30,"manipur election 2017: election body orders fir against state bjp office bearers, 8 newspapers",0.0,2017-03-04,NDTV News
31,31,"57% turnout in up till 5 pm, 84.8% in manipur: highlights",0.0,2017-03-04,NDTV News
32,32,up election 2017: narendra modi gives his security a nightmare as he gets cavalier in varanasi,-0.67515,2017-03-04,FirstPost news
33,33,up election 2017: bjp in varanasi alleges state admin 'selectively' pulled down its posters,-0.668336,2017-03-04,FirstPost news
34,34,"up election 2017: modi has lowered the dignity of the prime minister's office, alleges congress",0.0,2017-03-04,FirstPost news
35,35,people throng pm modi's roadshow in varanasi,0.0,2017-03-04,TimesOfIndia News
36,36,"rape accused up minister gayatri prajapati's passport impounded, look-out notice issued",0.0,2017-03-04,TimesOfIndia News
37,37,congress wants ec to book modi for alleged violation of model code,-0.479025,2017-03-04,TimesOfIndia News
38,38,"if you have chhaachh, pm modi will accuse you of taking bhaang: akhilesh yadav",-0.658212,2017-03-04,TimesOfIndia News
39,39,modi violated model code by holding varanasi road show: congress,0.0,2017-03-04,TimesOfIndia News
40,40,not appropriate for pm to hold road show: upendra kushwaha,-0.857546,2017-03-04,TimesOfIndia News
41,41,"sp, bjp workers clash at akhilesh-rahul's joint roadshow",-0.512518,2017-03-04,TimesOfIndia News
42,42,"a tale of two roadshows: pm modi, rahul gandhi and akhilesh yadav descend upon varanasi",0.0,2017-03-04,TimesOfIndia News
43,43,"after arvind kejriwal and manohar parrikar, now akhilesh yadav asks voters to accept money",0.0,2017-03-04,TimesOfIndia News
44,44,"no amount of prayers will help modi now, says mayawati",-0.306035,2017-03-04,TimesOfIndia News
45,45,"modi's jibe at maya, akhilesh, rahul: note ban irked bua, bhatija, his friend",0.0,2017-03-04,TimesOfIndia News
46,46,48.73 per cent polling registered till 3pm in sixth phase of up polls,0.0,2017-03-04,TimesOfIndia News
47,47,"pm modi in varanasi, bjp says its posters ""selectively"" pulled down",-0.384738,2017-03-04,TimesOfIndia News
48,48,uttar pradesh assembly polls 2017: hundreds turn out to cheer narendra modi in varanasi roadshow,0.0,2017-03-04,TimesOfIndia News
49,49,upper caste support critical for bjp in east uttar pradesh,0.0,2017-03-04,TimesOfIndia News
50,50,"priyanka gandhi absent from akhilesh yadav, dimple yadav and rahul gandhis road show",0.0,2017-03-04,TimesOfIndia News
51,51,test for samajwadi party in mulayams absence as yogi adityanath and ansaris flex muscles,0.0,2017-03-04,TimesOfIndia News
52,52,"bjp is 'bharat jhooth paathshaala', pm modi its principal: congress",0.0,2017-03-04,TimesOfIndia News
53,53,"bjp against mbcs, says mayawati",0.0,2017-03-04,TimesOfIndia News
54,54,will rail projects help bjp fly in eastern up?,0.0,2017-03-04,TimesOfIndia News
55,55,ready for development talks with cm on any of kashi ghats: piyush goyal,0.0,2017-03-04,TimesOfIndia News
56,56,up elections 2017: when paths of pm modi and akhilesh-rahul almost crossed in varanasi,0.0,2017-03-04,TimesOfIndia News
57,57,"'not kaam, it's kaarnama that speaks in up: smriti irani",0.677554,2017-03-04,TimesOfIndia News
58,58,`haven't spoken to mulayam singh yadav after quitting samajwadi party',-0.351689,2017-03-04,TimesOfIndia News
59,59,"bjp mp sakshi maharaj gets life threat, unnao police registers fir",-0.433487,2017-03-04,TimesOfIndia News
60,60,bjp leader arrested for inciting violence in lakhimpur kheri,0.0,2017-03-04,TimesOfIndia News
61,61,little suheldev party is bjps big bet,0.0,2017-03-04,TimesOfIndia News
62,62,"pm narendra modi prays at kashi vishwanath, kal bhairav temples; leads road show",0.0,2017-03-04,Zee news
63,63,"cong alleges pm narendra modi violated model code by holding varanasi road show, asks ec to take action",0.0,2017-03-04,Zee news
64,64,"noose tightened around rape-accused prajapati; passport impounded, look-out notice issued",0.0,2017-03-04,Zee news
65,65,"up polls: after pm modi's grand show, akhilesh-rahul take centrestage in varanasi ",0.0,2017-03-04,Zee news
66,66,up polls: akhilesh yadav takes another jibe at ''bua'' mayawati,0.0,2017-03-04,Zee news
67,67,pm narendra modi offers prayers at kashi vishwanath temple,0.0,2017-03-04,Zee news
68,68,"pm narendra modi in varanasi, bjp says its posters 'selectively' pulled down",-0.489846,2017-03-04,Zee news
69,69,rajyavardhan rathore claims wave for bjp in up polls,0.0,2017-03-04,Zee news
70,70,"yogi adityanath votes, claims wave for bjp",0.0,2017-03-04,Zee news
71,71,"clash of titans: varanasi to host pm narendra modi, rahul-akhilesh, mayawati today",-0.459844,2017-03-04,Zee news
